name,id,cg
百容,2483,"'LED','燈具_應用'"
希華,2484,"'被動元件','濾波器、振盪器'"
兆赫,2485,"'面板','顯示器模組','通信網路"
一詮,2486,"'半導體','導線架','面板','平"
漢平,2488,
瑞軒,2489,"'面板','監視器_顯示器','平面"
吉祥全,2491,"'LED','光源_磊晶'"
華新科,2492,"'被動元件','濾波器、振盪器','被動元件"
揚博,2493,"'半導體','化學品','PCB'"
普安,2495,"'AI','系統整合'"
卓越,2496,
怡利電,2497,"'其他','汽車"
宏達電,2498,"'AI','機器學習','資料"
國建,2501,'建商'
國產,2504,"'建材原料','水泥'"
國揚,2505,'建商'
太設,2506,'建商'
全坤建,2509,'建商'
太子,2511," '工程承攬','建設"
龍邦,2514,"'旅館', "
中工,2515," '建設業','營造業"
新建,2516,'營造業'
冠德,2520,'建商'
京城,2524,'建商'
宏璟,2527," '工程承攬','建設"
皇普,2528,'建設業'
華建,2530,'建設業'
宏盛,2534,'建設業'
達欣工,2535," '工程承攬','建設"
宏普,2536,'建商'
聯上發,2537,'建商'
基泰,2538,'建設業'
櫻花建,2539,'建設業'
愛山林,2540,
興富發,2542,'建商'
皇昌,2543, '營造業'
皇翔,2545,'建商'
根基,2546, '營造業'
日勝生,2547,'建商'
華固,2548,'建商'
綠意,2596,'建商'
潤弘,2597," '基礎工程','工程"
益航,2601,"'散裝航運','貿"
長榮,2603,'貨櫃航運'
新興,2605,'散裝航運'
裕民,2606,'散裝航運'
榮運,2607," '海陸空大眾運輸',"
嘉里大榮,2608,'海陸空貨運承攬'
陽明,2609,'貨櫃航運'
華航,2610, '海陸空大眾運輸'
志信,2611, '貨櫃運輸集散及倉儲
中航,2612," '散裝航運','交"
中櫃,2613, '貨櫃運輸集散及倉儲
東森,2614, '散裝航運'
萬海,2615,'貨櫃航運'
山隆,2616, '貨櫃運輸集散及倉儲
台航,2617, '散裝航運'
長榮航,2618, '海陸空大眾運輸'
亞航,2630, '貨櫃運輸集散及倉儲
台灣高鐵,2633, '海陸空大眾運輸'
漢翔,2634,"'其他','航太週邊'"
