代碼,股本,ROE%,PE,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日
2596,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2597,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2601,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2603,215.62,9.83,6.37,0.93,82.41,-16.97,281.32,,,,2024/09,
2606,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2607,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2609,349.21,8.11,9.87,0.82,77.1,-16.07,579.09,,,,2024/09,
2610,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2613,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2614,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2615,280.61,7.45,17.81,1.16,81.57,-22.88,463.95,,,,2024/09,
2617,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2618,540.04,11.43,8.56,1.89,5.83,-12.89,19.33,,,,2024/09,
2633,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2634,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2641,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2645,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2731,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2739,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2745,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2801,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2809,111.12,7.43,9.86,1.02,27.77,64.64,-14.04,,,,2024/09,
2812,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2834,916.80,5.08,13.28,1.01,22.89,5.79,0.67,,,,2024/09,
2836,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2838,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2845,427.54,4.07,12.41,0.9,-10.99,-12.12,18.15,,,,2024/09,
2851,80.04,9.49,7.77,1.06,6.66,40.76,58.74,,11/15法說會,,2024/09,
2855,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2867,539.95,14.62,25.85,0.77,-7.57,27.19,236.1,,,,2024/09,
2880,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2881,1366.57,9.19,11.83,1.41,31.12,512.2,91.19,,,,2024/09,
2882,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2883,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2884,1599.58,5.37,18.02,1.78,25.8,-11.11,20.48,,10/30申報轉讓80.00張，11/6法說會,,2024/09,
2885,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2886,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2887,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2888,1753.65,7.95,10.0,0.66,-97.37,100.67,424.3,,,,2024/09,
2889,353.22,3.17,25.42,1.27,26.47,-7.44,13.93,,,,2024/09,
2890,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2891,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2892,1402.87,5.46,16.46,1.45,18.51,-19.29,4.33,,12/2法說會,,2024/09,
2897,280.53,3.64,10.24,0.73,2.53,-0.7,3.08,,,,2024/09,
2903,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2905,112.25,13.33,19.22,0.95,-44.0,667.27,271.71,,,,2024/09,
2912,103.96,22.71,24.98,7.38,5.9,-2.85,10.47,,9月營收287.21億元,,2024/09,
2915,110.43,8.12,7.79,0.8,-3.18,-7.4,77.38,,,,2024/09,
3003,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3005,61.52,10.03,16.47,3.2,1.77,3.87,27.63,,,,2024/09,
3006,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3008,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3013,20.51,7.66,61.24,8.52,22.68,3.2,165.34,,,,2024/09,
3014,16.60,12.98,14.29,3.78,-1.81,-3.0,2.61,,,,2024/09,
3015,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3016,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
3017,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
